,Unnamed: 0,sigla,idpozo,area,cod_area,empresa,yacimiento,cod_yacimiento,formacion,cuenca,provincia,cota,profundidad,clasificacion,subclasificacion,tipo_recurso,sub_tipo_recurso,gasplus,tipopozo,tipoextraccion,tipoestado,adjiv_fecha_inicio_perf,adjiv_fecha_fin_perf,adjiv_fecha_inicio_term,adjiv_fecha_fin_term,geojson,geom,type,coordinates,coordinates_str,info_coordenadas,departamento_id,departamento_nombre,lat,lon,municipio_id,municipio_nombre,provincia_id,provincia_nombre
655,655,PPC.RN.CB-198,3466,ENTRE LOMAS,ELO,Petrolera Aconcagua Energia S.A.,CHARCO BAYO,CHB,tordillo,NEUQUINA,Rio Negro,580.2,2380.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,1991-09-29,1991-10-12,1991-10-22,1991-11-12,"{'type': 'Point', 'coordinates': [-68.11341, -38.15598]}",0101000020E61000008542041C420751C0406A1327F71343C0,Point,"[-68.11341, -38.15598]","-68.11341, -38.15598","{'departamento_id': '62042', 'departamento_nombre': 'General Roca', 'lat': -38.15598, 'lon': -68.11341, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': '62', 'provincia_nombre': 'Río Negro'}",62042.0,General Roca,-38.15598,-68.11341,,,62.0,Río Negro
656,656,PPC.RN.CB-199,3467,ENTRE LOMAS,ELO,Petrolera Aconcagua Energia S.A.,CHARCO BAYO,CHB,tordillo,NEUQUINA,Rio Negro,582.2,2390.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,1991-10-13,1991-10-27,1991-11-04,1991-11-27,"{'type': 'Point', 'coordinates': [-68.11341, -38.15598]}",0101000020E61000008542041C420751C0406A1327F71343C0,Point,"[-68.11341, -38.15598]","-68.11341, -38.15598","{'departamento_id': '62042', 'departamento_nombre': 'General Roca', 'lat': -38.15598, 'lon': -68.11341, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': '62', 'provincia_nombre': 'Río Negro'}",62042.0,General Roca,-38.15598,-68.11341,,,62.0,Río Negro
5087,5087,TPT.St.Ag.ap-1002,10924,AGUARAGÜE,AGU,TECPETROL S.A.,SIERRA DE AGUARAGÜE (SANTA ROSA ICLA),SRIC,santa rosa,NOROESTE,Salta,685.22,4172.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Gasífero,Surgencia Natural,Parado Transitoriamente,2001-12-16,2002-07-24,,,"{'type': 'Point', 'coordinates': [-63.88023288, -22.58227344]}",0101000020E6100000613B9478ABF04FC0222146DF0F9536C0,Point,"[-63.88023288, -22.58227344]","-63.88023288, -22.58227344","{'departamento_id': '66056', 'departamento_nombre': 'General José de San Martín', 'lat': -22.58227344, 'lon': -63.88023288, 'municipio_id': '660147', 'municipio_nombre': 'General Mosconi', 'provincia_id': '66', 'provincia_nombre': 'Salta'}",66056.0,General José de San Martín,-22.58227344,-63.88023288,660147.0,General Mosconi,66.0,Salta
5088,5088,YPF.St.Ag.xp-1,10927,AGUARAGÜE,AGU,TECPETROL S.A.,SIERRA DE AGUARAGÜE (SANTA ROSA ICLA),SRIC,santa rosa,NOROESTE,Salta,669.1,5335.0,EXPLORACION,EXPLORATORIO PROFUNDO,CONVENCIONAL,No informado,no,Gasífero,Surgencia Natural,Extracción Efectiva,1994-03-31,1995-05-21,1995-06-09,1995-10-10,"{'type': 'Point', 'coordinates': [-63.886108, -22.6354905]}",0101000020E6100000AB5CA8FC6BF14FC02F6B6281AFA236C0,Point,"[-63.886108, -22.6354905]","-63.886108, -22.6354905","{'departamento_id': '66056', 'departamento_nombre': 'General José de San Martín', 'lat': -22.6354905, 'lon': -63.886108, 'municipio_id': '660147', 'municipio_nombre': 'General Mosconi', 'provincia_id': '66', 'provincia_nombre': 'Salta'}",66056.0,General José de San Martín,-22.6354905,-63.886108,660147.0,General Mosconi,66.0,Salta
6508,6508,SIP.MAG.AM-304,33871,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2270.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{'type': 'Point', 'coordinates': [-68.280359, -52.522579]}",0101000020E6100000EA08E066F11151C0C74961DEE3424AC0,Point,"[-68.280359, -52.522579]","-68.280359, -52.522579","{'departamento_id': None, 'departamento_nombre': None, 'lat': -52.522579, 'lon': -68.280359, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': None, 'provincia_nombre': None}",,,-52.522579,-68.280359,,,,Estado Nacional
6549,6549,SIP.MAG.AM-301,33868,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1935.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{'type': 'Point', 'coordinates': [-68.280359, -52.522579]}",0101000020E6100000EA08E066F11151C0C74961DEE3424AC0,Point,"[-68.280359, -52.522579]","-68.280359, -52.522579","{'departamento_id': None, 'departamento_nombre': None, 'lat': -52.522579, 'lon': -68.280359, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': None, 'provincia_nombre': None}",,,-52.522579,-68.280359,,,,Estado Nacional
6550,6550,SIP.MAG.AM-302,33869,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1743.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Parado Transitoriamente,,,,,"{'type': 'Point', 'coordinates': [-68.280359, -52.522579]}",0101000020E6100000EA08E066F11151C0C74961DEE3424AC0,Point,"[-68.280359, -52.522579]","-68.280359, -52.522579","{'departamento_id': None, 'departamento_nombre': None, 'lat': -52.522579, 'lon': -68.280359, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': None, 'provincia_nombre': None}",,,-52.522579,-68.280359,,,,Estado Nacional
6551,6551,SIP.MAG.AM-303,33870,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1685.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{'type': 'Point', 'coordinates': [-68.280359, -52.522579]}",0101000020E6100000EA08E066F11151C0C74961DEE3424AC0,Point,"[-68.280359, -52.522579]","-68.280359, -52.522579","{'departamento_id': None, 'departamento_nombre': None, 'lat': -52.522579, 'lon': -68.280359, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': None, 'provincia_nombre': None}",,,-52.522579,-68.280359,,,,Estado Nacional
6552,6552,SIP.MAG.AM-305,33872,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1873.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{'type': 'Point', 'coordinates': [-68.280359, -52.522579]}",0101000020E6100000EA08E066F11151C0C74961DEE3424AC0,Point,"[-68.280359, -52.522579]","-68.280359, -52.522579","{'departamento_id': None, 'departamento_nombre': None, 'lat': -52.522579, 'lon': -68.280359, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': None, 'provincia_nombre': None}",,,-52.522579,-68.280359,,,,Estado Nacional
6553,6553,SIP.MAG.AM-306,33873,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2639.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{'type': 'Point', 'coordinates': [-68.280359, -52.522579]}",0101000020E6100000EA08E066F11151C0C74961DEE3424AC0,Point,"[-68.280359, -52.522579]","-68.280359, -52.522579","{'departamento_id': None, 'departamento_nombre': None, 'lat': -52.522579, 'lon': -68.280359, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': None, 'provincia_nombre': None}",,,-52.522579,-68.280359,,,,Estado Nacional
