,sigla,idpozo,area,cod_area,empresa,yacimiento,cod_yacimiento,formacion,cuenca,provincia,cota,profundidad,clasificacion,subclasificacion,tipo_recurso,sub_tipo_recurso,gasplus,tipopozo,tipoextraccion,tipoestado,adjiv_fecha_inicio_perf,adjiv_fecha_fin_perf,adjiv_fecha_inicio_term,adjiv_fecha_fin_term,geojson,geom,lon,lat
3381,YPF.Nq.EL-10,8912,EL TRAPIAL ESTE,ETE,CHEVRON ARGENTINA S.R.L.,EL LIMITE,ELIM,rayoso,NEUQUINA,Neuquén,863.0,1231.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,1995-08-23,1995-08-30,1995-09-11,1995-09-19,"{""type"":""Point"",""coordinates"":[-69.266189999999995,-37.361449999999998]}",0101000020E61000006C21C841095151C0D1915CFE43AE42C0,-69.26619,-37.36145
3384,YPF.Nq.EL-11,8915,EL TRAPIAL ESTE,ETE,CHEVRON ARGENTINA S.R.L.,EL LIMITE,ELIM,rayoso,NEUQUINA,Neuquén,870.0,1508.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,1995-08-17,1995-08-24,2001-02-19,2001-02-22,"{""type"":""Point"",""coordinates"":[-69.271820000000005,-37.361460000000001]}",0101000020E61000008599B67F655151C0F5673F5244AE42C0,-69.27182,-37.36146
3392,YPF.Nq.EL-17,8923,EL TRAPIAL ESTE,ETE,CHEVRON ARGENTINA S.R.L.,EL LIMITE,ELIM,agrio,NEUQUINA,Neuquén,873.68,1497.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Parado Transitoriamente,1997-02-21,1997-03-03,1997-03-16,1997-03-29,"{""type"":""Point"",""coordinates"":[-69.277600000000007,-37.361409999999999]}",0101000020E6100000A857CA32C45151C04339D1AE42AE42C0,-69.2776,-37.36141
3399,YPF.Nq.EL-22,8930,EL TRAPIAL ESTE,ETE,CHEVRON ARGENTINA S.R.L.,EL LIMITE,ELIM,rayoso,NEUQUINA,Neuquén,869.75,1470.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,2004-07-02,2004-07-15,2004-07-29,2004-08-14,"{""type"":""Point"",""coordinates"":[-69.274739999999994,-37.361499999999999]}",0101000020E6100000CBB91457955151C083C0CAA145AE42C0,-69.27474,-37.3615
3405,YPF.Nq.EL-25,8936,EL TRAPIAL ESTE,ETE,CHEVRON ARGENTINA S.R.L.,EL LIMITE,ELIM,rayoso,NEUQUINA,Neuquén,819.73,1280.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,2004-07-07,2004-07-24,2004-08-03,2004-08-19,"{""type"":""Point"",""coordinates"":[-69.230040000000002,-37.360120000000002]}",0101000020E61000006631B1F9B84E51C05951836918AE42C0,-69.23004,-37.36012
3410,YPF.Nq.EL-3,8941,EL TRAPIAL ESTE,ETE,CHEVRON ARGENTINA S.R.L.,EL LIMITE,ELIM,rayoso,NEUQUINA,Neuquén,808.0,1216.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,1995-07-24,1995-07-30,1995-08-09,1995-08-15,"{""type"":""Point"",""coordinates"":[-69.226839999999996,-37.361420000000003]}",0101000020E61000002D5BEB8B844E51C0670FB40243AE42C0,-69.22684,-37.36142
3417,YPF.Nq.EL-9,8948,EL TRAPIAL ESTE,ETE,CHEVRON ARGENTINA S.R.L.,EL LIMITE,ELIM,rayoso,NEUQUINA,Neuquén,854.0,1215.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,1995-08-15,1995-08-21,1999-03-10,1999-03-12,"{""type"":""Point"",""coordinates"":[-69.260729999999995,-37.36148]}",0101000020E610000082C5E1CCAF5051C03C1405FA44AE42C0,-69.26073,-37.36148
5723,SIP.MAG.AM-101,29010,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2272.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.384549000000007,-52.531370000000003]}",0101000020E610000069AD68739C1851C0AB09A2EE03444AC0,-68.384549,-52.53137
5724,SIP.MAG.AM-103,29011,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2432.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.384549000000007,-52.531370000000003]}",0101000020E610000069AD68739C1851C0AB09A2EE03444AC0,-68.384549,-52.53137
5725,SIP.MAG.AM-104,29012,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2605.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.384549000000007,-52.531370000000003]}",0101000020E610000069AD68739C1851C0AB09A2EE03444AC0,-68.384549,-52.53137
5726,SIP.MAG.AM-105,29013,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2090.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Parado Transitoriamente,,,,,"{""type"":""Point"",""coordinates"":[-68.384549000000007,-52.531370000000003]}",0101000020E610000069AD68739C1851C0AB09A2EE03444AC0,-68.384549,-52.53137
5727,SIP.MAG.AM-106,29014,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1756.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.384549000000007,-52.531370000000003]}",0101000020E610000069AD68739C1851C0AB09A2EE03444AC0,-68.384549,-52.53137
5728,SIP.MAG.AM-113,29015,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2377.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.384549000000007,-52.531370000000003]}",0101000020E610000069AD68739C1851C0AB09A2EE03444AC0,-68.384549,-52.53137
5729,SIP.MAG.AM-114,29016,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1996.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Parado Transitoriamente,,,,,"{""type"":""Point"",""coordinates"":[-68.384549000000007,-52.531370000000003]}",0101000020E610000069AD68739C1851C0AB09A2EE03444AC0,-68.384549,-52.53137
5730,SIP.MAG.AM-115,29017,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2071.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Parado Transitoriamente,,,,,"{""type"":""Point"",""coordinates"":[-68.384549000000007,-52.531370000000003]}",0101000020E610000069AD68739C1851C0AB09A2EE03444AC0,-68.384549,-52.53137
5731,SIP.MAG.AM-116,29018,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2948.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Parado Transitoriamente,,,,,"{""type"":""Point"",""coordinates"":[-68.384549000000007,-52.531370000000003]}",0101000020E610000069AD68739C1851C0AB09A2EE03444AC0,-68.384549,-52.53137
5732,SIP.MAG.AM-117,29019,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2040.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.384549000000007,-52.531370000000003]}",0101000020E610000069AD68739C1851C0AB09A2EE03444AC0,-68.384549,-52.53137
5733,SIP.MAG.AM-118,29020,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1838.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.384549000000007,-52.531370000000003]}",0101000020E610000069AD68739C1851C0AB09A2EE03444AC0,-68.384549,-52.53137
5734,SIP.MAG.AM-201,29021,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2700.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.311398999999994,-52.549014999999997]}",0101000020E6100000744012F6ED1351C0B8019F1F46464AC0,-68.311399,-52.549015
5735,SIP.MAG.AM-202,29022,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1930.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.311398999999994,-52.549014999999997]}",0101000020E6100000744012F6ED1351C0B8019F1F46464AC0,-68.311399,-52.549015
5736,SIP.MAG.AM-203,29023,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2809.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.311398999999994,-52.549014999999997]}",0101000020E6100000744012F6ED1351C0B8019F1F46464AC0,-68.311399,-52.549015
5737,SIP.MAG.AM-204,29024,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2360.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.311398999999994,-52.549014999999997]}",0101000020E6100000744012F6ED1351C0B8019F1F46464AC0,-68.311399,-52.549015
5738,SIP.MAG.AM-205,29025,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,3007.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.311398999999994,-52.549014999999997]}",0101000020E6100000744012F6ED1351C0B8019F1F46464AC0,-68.311399,-52.549015
5740,SIP.MAG.AM-207,29027,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1716.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.311398999999994,-52.549014999999997]}",0101000020E6100000744012F6ED1351C0B8019F1F46464AC0,-68.311399,-52.549015
5741,SIP.MAG.AM-208,29028,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1703.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.311398999999994,-52.549014999999997]}",0101000020E6100000744012F6ED1351C0B8019F1F46464AC0,-68.311399,-52.549015
5742,SIP.MAG.AM-209,29029,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1952.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.311398999999994,-52.549014999999997]}",0101000020E6100000744012F6ED1351C0B8019F1F46464AC0,-68.311399,-52.549015
5743,SIP.MAG.AM-210,29030,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2230.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Parado Transitoriamente,,,,,"{""type"":""Point"",""coordinates"":[-68.311398999999994,-52.549014999999997]}",0101000020E6100000744012F6ED1351C0B8019F1F46464AC0,-68.311399,-52.549015
5744,SIP.MAG.AM-211,29031,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1662.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.311398999999994,-52.549014999999997]}",0101000020E6100000744012F6ED1351C0B8019F1F46464AC0,-68.311399,-52.549015
5745,SIP.MAG.AM-212,29032,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1760.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.311398999999994,-52.549014999999997]}",0101000020E6100000744012F6ED1351C0B8019F1F46464AC0,-68.311399,-52.549015
5746,SIP.MAG.AM-501,29033,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2362.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Parado Transitoriamente,,,,,"{""type"":""Point"",""coordinates"":[-68.252159000000006,-52.570556000000003]}",0101000020E61000001899805F231051C0AF44A0FA07494AC0,-68.252159,-52.570556
5747,SIP.MAG.AM-502,29034,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2654.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.252159000000006,-52.570556000000003]}",0101000020E61000001899805F231051C0AF44A0FA07494AC0,-68.252159,-52.570556
5748,SIP.MAG.AM-503,29035,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,3042.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.252159000000006,-52.570556000000003]}",0101000020E61000001899805F231051C0AF44A0FA07494AC0,-68.252159,-52.570556
5749,SIP.MAG.AM-504,29036,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,3400.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Parado Transitoriamente,,,,,"{""type"":""Point"",""coordinates"":[-68.252159000000006,-52.570556000000003]}",0101000020E61000001899805F231051C0AF44A0FA07494AC0,-68.252159,-52.570556
5752,SIP.MAG.AM-507,29039,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1930.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.252159000000006,-52.570556000000003]}",0101000020E61000001899805F231051C0AF44A0FA07494AC0,-68.252159,-52.570556
5753,SIP.MAG.AM-508,29040,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2670.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.252159000000006,-52.570556000000003]}",0101000020E61000001899805F231051C0AF44A0FA07494AC0,-68.252159,-52.570556
5754,SIP.MAG.AM-509,29041,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2930.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.252159000000006,-52.570556000000003]}",0101000020E61000001899805F231051C0AF44A0FA07494AC0,-68.252159,-52.570556
5755,SIP.MAG.AM-510,29042,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,1780.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Parado Transitoriamente,,,,,"{""type"":""Point"",""coordinates"":[-68.252159000000006,-52.570556000000003]}",0101000020E61000001899805F231051C0AF44A0FA07494AC0,-68.252159,-52.570556
5756,SIP.MAG.AM-511,29043,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2485.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Parado Transitoriamente,,,,,"{""type"":""Point"",""coordinates"":[-68.252159000000006,-52.570556000000003]}",0101000020E61000001899805F231051C0AF44A0FA07494AC0,-68.252159,-52.570556
5757,SIP.MAG.AM-512,29044,MAGALLANES,MAG,ENAP SIPETROL ARGENTINA S.A.,MAGALLANES,MAG,springhill,AUSTRAL,Santa Cruz,0.0,2900.0,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-68.252159000000006,-52.570556000000003]}",0101000020E61000001899805F231051C0AF44A0FA07494AC0,-68.252159,-52.570556
42188,YPF.Nq.EL-22,109903,CHIHUIDO DE LA SIERRA NEGRA,CSN,YPF S.A.,EL LIMITE,Z135,rayoso,NEUQUINA,Neuquén,869.75,1470.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,2004-07-02,2004-07-15,2004-07-29,2004-08-14,"{""type"":""Point"",""coordinates"":[-69.2757194,-37.361084949999999]}",0101000020E6100000DB77FB62A55151C0F5A9190838AE42C0,-69.2757194,-37.36108495
42193,YPF.Nq.EL-25,109909,CHIHUIDO DE LA SIERRA NEGRA,CSN,YPF S.A.,EL LIMITE,Z135,rayoso,NEUQUINA,Neuquén,814.03,1280.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,2004-07-07,2004-07-24,2004-08-03,2004-08-19,"{""type"":""Point"",""coordinates"":[-69.231005909999993,-37.359710159999999]}",0101000020E61000007E2803CDC84E51C0959E86FB0AAE42C0,-69.23100591,-37.35971016
