,Unnamed: 0,sigla,idpozo,area,cod_area,empresa,yacimiento,cod_yacimiento,formacion,cuenca,provincia,cota,profundidad,clasificacion,subclasificacion,tipo_recurso,sub_tipo_recurso,gasplus,tipopozo,tipoextraccion,tipoestado,adjiv_fecha_inicio_perf,adjiv_fecha_fin_perf,adjiv_fecha_inicio_term,adjiv_fecha_fin_term,geojson,geom,type,coordinates,coordinates_str,info_coordenadas,departamento_id,departamento_nombre,lat,lon,municipio_id,municipio_nombre,provincia_id,provincia_nombre
4613,4613,SJ.RN.LN-7,10143,LOMA NEGRA,LNE,CAPEX S.A.,LOMA NEGRA,LNE,lajas,NEUQUINA,Rio Negro,396.31,3329.0,EXPLOTACION,DESARROLLO,No informado,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,1998-10-19,1998-11-09,1999-02-09,1999-02-20,"{'type': 'Point', 'coordinates': [-38.756338, -67.642383]}",0101000020E61000006C5CFFAECF6043C0682096CD1CE950C0,Point,"[-38.756338, -67.642383]","-38.756338, -67.642383","{'departamento_id': None, 'departamento_nombre': None, 'lat': -67.642383, 'lon': -38.756338, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': None, 'provincia_nombre': None}",,,-67.642383,-38.756338,,,,Estado Nacional
4614,4614,SJ.RN.LN-7,10144,LOMA NEGRA,LNE,CAPEX S.A.,LOMA NEGRA,LNE,precuyo,NEUQUINA,Rio Negro,396.31,3329.0,EXPLOTACION,DESARROLLO,No informado,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,1998-10-19,1998-11-09,1999-02-09,1999-02-20,"{'type': 'Point', 'coordinates': [-67.642383, -38.756338]}",0101000020E6100000682096CD1CE950C06C5CFFAECF6043C0,Point,"[-67.642383, -38.756338]","-67.642383, -38.756338","{'departamento_id': '62042', 'departamento_nombre': 'General Roca', 'lat': -38.756338, 'lon': -67.642383, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': '62', 'provincia_nombre': 'Río Negro'}",62042.0,General Roca,-38.756338,-67.642383,,,62.0,Río Negro
4686,4686,AEC.RN.PP-3,10217,PUESTO PRADO,PUPR,PRESIDENT PETROLEUM S.A.,PUESTO PRADO,PPR,lajas,NEUQUINA,Rio Negro,438.5,2801.0,No informado,No informado,No informado,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,,,,,"{'type': 'Point', 'coordinates': [-67.42922, -38.59437]}",0101000020E610000081B2295778DB50C09CDCEF50144C43C0,Point,"[-67.42922, -38.59437]","-67.42922, -38.59437","{'departamento_id': '62042', 'departamento_nombre': 'General Roca', 'lat': -38.59437, 'lon': -67.42922, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': '62', 'provincia_nombre': 'Río Negro'}",62042.0,General Roca,-38.59437,-67.42922,,,62.0,Río Negro
4687,4687,AEC.RN.PP-3,10218,PUESTO PRADO,PUPR,PRESIDENT PETROLEUM S.A.,PUESTO PRADO,PPR,precuyo,NEUQUINA,Rio Negro,438.5,2801.0,No informado,No informado,No informado,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,,,,,"{'type': 'Point', 'coordinates': [-67.42941, -38.59146]}",0101000020E6100000D3A414747BDB50C0327216F6B44B43C0,Point,"[-67.42941, -38.59146]","-67.42941, -38.59146","{'departamento_id': '62042', 'departamento_nombre': 'General Roca', 'lat': -38.59146, 'lon': -67.42941, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': '62', 'provincia_nombre': 'Río Negro'}",62042.0,General Roca,-38.59146,-67.42941,,,62.0,Río Negro
4688,4688,AEC.RN.PP-3,10219,PUESTO PRADO,PUPR,PRESIDENT PETROLEUM S.A.,PUESTO PRADO,PPR,punta rosada,NEUQUINA,Rio Negro,438.5,2801.0,No informado,No informado,No informado,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,,,,,"{'type': 'Point', 'coordinates': [-67.42996, -38.59043]}",0101000020E6100000A4A5F27684DB50C0E449D235934B43C0,Point,"[-67.42996, -38.59043]","-67.42996, -38.59043","{'departamento_id': '62042', 'departamento_nombre': 'General Roca', 'lat': -38.59043, 'lon': -67.42996, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': '62', 'provincia_nombre': 'Río Negro'}",62042.0,General Roca,-38.59043,-67.42996,,,62.0,Río Negro
15675,15675,PBE.LP.BO-1008d,58656,JAGÜEL DE LOS MACHOS LP,JMLP,PETROQUIMICA COMODORO RIVADAVIA S.A.,BANDERITA OESTE,BOLP,sierras blancas,NEUQUINA,La Pampa,286.1,1425.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,2005-02-04,2005-02-19,2005-02-22,2005-03-10,"{'type': 'Point', 'coordinates': [-67.6558998160725, -38.1784096349315]}",0101000020E6100000F7DE3843FAE950C03AA97D20D61643C0,Point,"[-67.6558998160725, -38.1784096349315]","-67.6558998160725, -38.1784096349315","{'departamento_id': '42112', 'departamento_nombre': 'Puelén', 'lat': -38.1784096349315, 'lon': -67.6558998160725, 'municipio_id': '420385', 'municipio_nombre': 'Colonia 25 de Mayo', 'provincia_id': '42', 'provincia_nombre': 'La Pampa'}",42112.0,Puelén,-38.1784096349315,-67.6558998160725,420385.0,Colonia 25 de Mayo,42.0,La Pampa
15676,15676,PBE.LP.BO-1009d,58657,JAGÜEL DE LOS MACHOS LP,JMLP,PETROQUIMICA COMODORO RIVADAVIA S.A.,BANDERITA OESTE,BOLP,sierras blancas,NEUQUINA,La Pampa,285.3,1418.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,2005-02-19,2005-03-08,2005-03-12,2005-03-28,"{'type': 'Point', 'coordinates': [-67.6477998211699, -38.1896096646265]}",0101000020E6100000E191618D75E950C0C6492621451843C0,Point,"[-67.6477998211699, -38.1896096646265]","-67.6477998211699, -38.1896096646265","{'departamento_id': '42112', 'departamento_nombre': 'Puelén', 'lat': -38.1896096646265, 'lon': -67.6477998211699, 'municipio_id': '420385', 'municipio_nombre': 'Colonia 25 de Mayo', 'provincia_id': '42', 'provincia_nombre': 'La Pampa'}",42112.0,Puelén,-38.1896096646265,-67.6477998211699,420385.0,Colonia 25 de Mayo,42.0,La Pampa
15678,15678,PBE.LP.BO-1011d,58659,JAGÜEL DE LOS MACHOS LP,JMLP,PETROQUIMICA COMODORO RIVADAVIA S.A.,BANDERITA OESTE,BOLP,sierras blancas,NEUQUINA,La Pampa,284.5,1450.0,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,2005-03-08,2005-03-23,2005-03-28,2005-04-06,"{'type': 'Point', 'coordinates': [-67.6429997669193, -38.1834096441821]}",0101000020E610000042907EE826E950C03DC49BF7791743C0,Point,"[-67.6429997669193, -38.1834096441821]","-67.6429997669193, -38.1834096441821","{'departamento_id': '42112', 'departamento_nombre': 'Puelén', 'lat': -38.1834096441821, 'lon': -67.6429997669193, 'municipio_id': '420385', 'municipio_nombre': 'Colonia 25 de Mayo', 'provincia_id': '42', 'provincia_nombre': 'La Pampa'}",42112.0,Puelén,-38.1834096441821,-67.6429997669193,420385.0,Colonia 25 de Mayo,42.0,La Pampa
60913,60913,PLU.Nq.NA-1117,130314,EL PORVENIR,POR,OILSTONE ENERGIA S.A.,CHALLACO,CLL,challacó,NEUQUINA,Neuquén,416.97,1092.0,No informado,No informado,No informado,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,,,,,"{'type': 'Point', 'coordinates': [-68.933043919, -39.0022454467]}",0101000020E61000008C75D7FDB63B51C01A122C94498043C0,Point,"[-68.933043919, -39.0022454467]","-68.933043919, -39.0022454467","{'departamento_id': '58035', 'departamento_nombre': 'Confluencia', 'lat': -39.0022454467, 'lon': -68.933043919, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': '58', 'provincia_nombre': 'Neuquén'}",58035.0,Confluencia,-39.0022454467,-68.933043919,,,58.0,Neuquén
61123,61123,PLU.Nq.NA-1117,130546,EL PORVENIR,POR,OILSTONE ENERGIA S.A.,CHALLACO,CLL,tordillo,NEUQUINA,Neuquén,416.97,1092.0,No informado,No informado,No informado,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,,,,,"{'type': 'Point', 'coordinates': [-68.9330416, -39.00470455]}",0101000020E6100000AE731DF4B63B51C03A32A0289A8043C0,Point,"[-68.9330416, -39.00470455]","-68.9330416, -39.00470455","{'departamento_id': '58035', 'departamento_nombre': 'Confluencia', 'lat': -39.00470455, 'lon': -68.9330416, 'municipio_id': None, 'municipio_nombre': None, 'provincia_id': '58', 'provincia_nombre': 'Neuquén'}",58035.0,Confluencia,-39.00470455,-68.9330416,,,58.0,Neuquén
